add,1,0,300,,
set value at random index,1,0,800,add,41.62473041
set value at random index,1,0,300,set,186.2482032
set value at random index,1,0,100,access,182.2493655
access at random index,1,0,200,remove end,194.5097456
set value at random index,1,0,200,get index,10391.40216
set value at random index,1,0,100,remove start,239.9569363
remove from end,0,0,200,insert random,248.120409
add,1,0,100,insert start,255.9200338
access at random index,1,0,200,remove random,225.9905155
get Index of,1,-1,300,, 
get Index of,1,-1,200,, 
add,2,1,100,, 
remove from start,1,0,200,, 
access at random index,1,0,200,, 
insert at random index,2,0,300,, 
access at random index,2,0,100,, 
set value at random index,2,1,100,, 
access at random index,2,0,100,, 
insert at random index,3,1,300,, 
set value at random index,3,2,200,, 
set value at random index,3,0,200,, 
remove from end,2,2,200,, 
access at random index,2,1,200,, 
remove from random index,1,1,200,, 
remove from start,0,0,200,, 
add,1,0,100,, 
remove from end,0,0,100,, 
add,1,0,0,, 
get Index of,1,-1,200,, 
set value at random index,1,0,100,, 
insert at start,2,0,200,,200
insert at start,3,0,200,,200
access at random index,3,2,100,, 
remove from start,2,0,200,, 
get Index of,2,-1,300,, 
remove from end,1,1,200,, 
set value at random index,1,0,200,, 
access at random index,1,0,200,, 
insert at start,2,0,200,,200
remove from start,1,0,200,, 
set value at random index,1,0,200,, 
set value at random index,1,0,200,, 
remove from random index,0,0,200,, 
add,1,0,100,, 
access at random index,1,0,200,, 
access at random index,1,0,200,, 
set value at random index,1,0,200,, 
add,2,1,100,, 
insert at random index,3,0,300,, 
set value at random index,3,2,100,, 
access at random index,3,2,100,, 
get Index of,3,-1,400,, 
set value at random index,3,0,200,, 
access at random index,3,0,200,, 
remove from end,2,2,100,, 
get Index of,2,-1,300,, 
insert at start,3,0,200,,200
access at random index,3,0,200,, 
access at random index,3,1,200,, 
set value at random index,3,0,200,, 
set value at random index,3,0,100,, 
remove from end,2,2,200,, 
set value at random index,2,0,200,, 
set value at random index,2,1,100,, 
remove from end,1,1,200,, 
insert at random index,2,0,200,, 
remove from random index,1,1,200,, 
insert at start,2,0,200,,200
get Index of,2,-1,300,, 
remove from end,1,1,100,, 
access at random index,1,0,200,, 
set value at random index,1,0,100,, 
remove from random index,0,0,200,, 
add,1,0,100,, 
remove from start,0,0,200,, 
add,1,0,0,, 
remove from random index,0,0,200,, 
add,1,0,0,, 
add,2,1,0,, 
access at random index,2,0,100,, 
insert at start,3,0,200,,200
access at random index,3,0,200,, 
insert at start,4,0,500,,500
insert at random index,5,3,700,, 
remove from start,4,0,200,, 
access at random index,4,2,100,, 
remove from start,3,0,200,, 
remove from random index,2,2,200,, 
get Index of,2,-1,300,, 
set value at random index,2,0,200,, 
add,3,2,0,, 
access at random index,3,0,100,, 
set value at random index,3,0,100,, 
insert at start,4,0,200,,200
access at random index,4,1,200,, 
access at random index,4,1,200,, 
access at random index,4,0,200,, 
access at random index,4,3,200,, 
set value at random index,4,2,100,, 
set value at random index,4,3,200,, 
access at random index,4,0,200,, 
set value at random index,4,3,200,, 
access at random index,4,1,100,, 
get Index of,4,-1,600,, 
access at random index,4,0,200,, 
get Index of,4,-1,600,, 
insert at start,5,0,200,,200
insert at start,6,0,200,,200
set value at random index,6,1,100,, 
remove from end,5,5,200,, 
insert at random index,6,1,200,, 
add,7,6,0,, 
set value at random index,7,3,100,, 
insert at start,8,0,200,,200
set value at random index,8,1,100,, 
access at random index,8,6,100,, 
access at random index,8,1,200,, 
set value at random index,8,6,200,, 
get Index of,8,-1,1000,, 
set value at random index,8,0,200,, 
set value at random index,8,4,200,, 
access at random index,8,0,100,, 
remove from end,7,7,100,, 
set value at random index,7,6,200,, 
set value at random index,7,2,200,, 
set value at random index,7,2,200,, 
access at random index,7,1,100,, 
set value at random index,7,4,200,, 
insert at start,8,0,200,,200
set value at random index,8,4,200,, 
remove from random index,7,5,200,, 
remove from random index,6,4,200,, 
access at random index,6,4,100,, 
remove from end,5,5,200,, 
access at random index,5,4,200,, 
remove from random index,4,4,100,, 
insert at start,5,0,200,,200
access at random index,5,2,200,, 
set value at random index,5,4,100,, 
get Index of,5,-1,700,, 
access at random index,5,3,100,, 
set value at random index,5,3,400,, 
access at random index,5,0,200,, 
