add,1,0,200,,
set value at random index,1,0,1300,add,43.00739523
access at random index,1,0,300,set,185.5448555
remove from start,0,0,200,access,181.3902244
add,1,0,100,remove end,189.9818794
insert at start,2,0,300,get index,10647.71511
add,3,2,100,remove start,225.2727429
set value at random index,3,0,200,insert random,234.7324762
set value at random index,3,2,200,insert start,239.8080935
remove from random index,2,1,300,remove random,216.4664793
set value at random index,2,0,100,,
insert at random index,3,0,200,,
add,4,3,0,,
insert at start,5,0,800,,
remove from start,4,0,200,,
access at random index,4,0,100,,
set value at random index,4,2,300,,
set value at random index,4,2,200,,
remove from random index,3,1,200,,
remove from random index,2,1,300,,
remove from end,1,1,200,,
add,2,1,100,,
set value at random index,2,1,200,,
remove from end,1,1,200,,
access at random index,1,0,200,,
add,2,1,100,,
remove from end,1,1,200,,
set value at random index,1,0,100,,
remove from random index,0,0,100,,
add,1,0,100,,
insert at start,2,0,200,,
set value at random index,2,1,200,,
set value at random index,2,0,200,,
set value at random index,2,1,200,,
insert at random index,3,1,200,,
set value at random index,3,0,200,,
remove from start,2,0,200,,
add,3,2,100,,
set value at random index,3,2,100,,
insert at start,4,0,300,,
insert at start,5,0,200,,
get Index of,5,2,500,,
set value at random index,5,3,200,,
get Index of,5,-1,700,,
insert at random index,6,4,100,,
insert at start,7,0,200,,
add,8,7,100,,
remove from random index,7,6,200,,
add,8,7,100,,
remove from random index,7,1,200,,
insert at start,8,0,200,,
insert at random index,9,3,1100,,
remove from random index,8,7,200,,
remove from random index,7,1,100,,
remove from end,6,6,200,,
insert at start,7,0,200,,
set value at random index,7,3,200,,
remove from end,6,6,100,,
insert at random index,7,2,200,,
add,8,7,100,,
insert at random index,9,7,200,,
insert at start,10,0,200,,
add,11,10,0,,
remove from random index,10,1,200,,
remove from start,9,0,200,,
insert at start,10,0,200,,
insert at start,11,0,200,,
remove from end,10,10,200,,
access at random index,10,4,100,,
insert at start,11,0,100,,
remove from random index,10,4,200,,
add,11,10,0,,
set value at random index,11,10,100,,
remove from end,10,10,100,,
set value at random index,10,4,200,,
remove from end,9,9,200,,
set value at random index,9,3,100,,
insert at random index,10,0,200,,
add,11,10,0,,
insert at start,12,0,200,,
insert at start,13,0,200,,
insert at start,14,0,200,,
set value at random index,14,3,500,,
set value at random index,14,4,200,,
insert at start,15,0,200,,
remove from start,14,0,200,,
access at random index,14,1,200,,
remove from random index,13,2,200,,
insert at random index,14,12,200,,
remove from random index,13,11,200,,
set value at random index,13,9,200,,
remove from random index,12,3,200,,
access at random index,12,9,200,,
insert at random index,13,7,200,,
insert at random index,14,5,200,,
insert at random index,15,13,200,,
remove from end,14,14,200,,
remove from end,13,13,200,,
access at random index,13,3,200,,
insert at random index,14,1,300,,
get Index of,14,-1,1700,,
remove from random index,13,3,200,,
remove from random index,12,2,200,,
remove from end,11,11,200,,
remove from random index,10,6,200,,
insert at start,11,0,200,,
remove from random index,10,3,200,,
remove from end,9,9,200,,
get Index of,9,-1,1100,,
get Index of,9,-1,1100,,
remove from start,8,0,200,,
insert at start,9,0,200,,
