add,1,0,200,,
remove from random index,0,0,800,add,40.94513781
add,1,0,100,set,186.0521042
remove from end,0,0,400,access,183.2713755
add,1,0,100,remove end,189.0335801
remove from end,0,0,200,get index,10496.80903
add,1,0,0,remove start,220.8790487
add,2,1,100,insert random,227.358981
remove from start,1,0,200,insert start,224.6743704
remove from random index,0,0,200,remove random,214.29146
add,1,0,0,,
remove from start,0,0,200,,
add,1,0,0,,
get Index of,1,-1,200,,
get Index of,1,-1,100,,
insert at start,2,0,300,,
insert at random index,3,0,200,,
remove from random index,2,0,300,,
remove from start,1,0,500,,
insert at start,2,0,200,,
remove from start,1,0,200,,
insert at random index,2,0,200,,
remove from end,1,1,200,,
insert at random index,2,0,100,,
add,3,2,100,,
remove from start,2,0,200,,
set value at random index,2,1,200,,
access at random index,2,1,200,,
insert at start,3,0,200,,
remove from start,2,0,200,,
insert at start,3,0,200,,
remove from end,2,2,200,,
remove from end,1,1,200,,
remove from random index,0,0,100,,
add,1,0,100,,
insert at random index,2,0,200,,
add,3,2,100,,
get Index of,3,-1,400,,
insert at random index,4,0,200,,
remove from end,3,3,100,,
remove from end,2,2,200,,
add,3,2,0,,
insert at random index,4,2,200,,
insert at random index,5,2,600,,
insert at random index,6,0,200,,
remove from end,5,5,100,,
remove from end,4,4,200,,
remove from random index,3,1,100,,
get Index of,3,-1,400,,
remove from end,2,2,100,,
remove from end,1,1,100,,
insert at random index,2,0,200,,
add,3,2,0,,
remove from end,2,2,200,,
remove from end,1,1,100,,
add,2,1,0,,
remove from start,1,0,300,,
set value at random index,1,0,200,,
insert at start,2,0,200,,
insert at start,3,0,200,,
remove from end,2,2,200,,
remove from start,1,0,200,,
add,2,1,100,,
insert at random index,3,0,200,,
remove from end,2,2,200,,
get Index of,2,-1,300,,
remove from start,1,0,200,,
add,2,1,0,,
remove from start,1,0,100,,
remove from end,0,0,100,,
add,1,0,0,,
insert at start,2,0,200,,
remove from start,1,0,200,,
add,2,1,100,,
remove from end,1,1,200,,
insert at random index,2,0,200,,
remove from end,1,1,200,,
add,2,1,100,,
add,3,2,100,,
remove from end,2,2,200,,
remove from end,1,1,200,,
remove from random index,0,0,200,,
add,1,0,0,,
remove from end,0,0,200,,
add,1,0,100,,
insert at start,2,0,200,,
remove from random index,1,0,200,,
add,2,1,0,,
insert at random index,3,0,200,,
remove from end,2,2,100,,
get Index of,2,-1,300,,
add,3,2,0,,
insert at start,4,0,500,,
remove from end,3,3,200,,
insert at start,4,0,200,,
remove from start,3,0,200,,
insert at start,4,0,200,,
access at random index,4,3,200,,
insert at random index,5,3,200,,
remove from random index,4,2,200,,
remove from random index,3,3,200,,
insert at random index,4,0,200,,
insert at start,5,0,100,,
remove from start,4,0,200,,
remove from random index,3,2,200,,
add,4,3,100,,
insert at start,5,0,200,,
add,6,5,0,,
remove from end,5,5,200,,
get Index of,5,-1,700,,
add,6,5,100,,
get Index of,6,-1,800,,
remove from end,5,5,200,,
remove from random index,4,2,200,,
insert at start,5,0,100,,
remove from end,4,4,100,,
insert at start,5,0,200,,
add,6,5,100,,
remove from start,5,0,200,,
remove from random index,4,0,200,,
remove from start,3,0,200,,
insert at random index,4,2,200,,
remove from end,3,3,200,,
remove from random index,2,1,300,,
remove from start,1,0,200,,
remove from random index,0,0,200,,
add,1,0,0,,
insert at start,2,0,200,,
insert at start,3,0,200,,
remove from random index,2,0,200,,
add,3,2,100,,
insert at start,4,0,200,,
insert at start,5,0,200,,
remove from start,4,0,200,,
remove from random index,3,1,200,,
insert at random index,4,0,200,,
remove from end,3,3,100,,
remove from random index,2,0,200,,
insert at random index,3,0,200,,
add,4,3,0,,
insert at start,5,0,200,,
access at random index,5,3,100,,
remove from start,4,0,200,,
insert at random index,5,2,200,,
remove from start,4,0,100,,
remove from start,3,0,200,,
remove from end,2,2,100,,
remove from start,1,0,200,,
insert at start,2,0,200,,
add,3,2,100,,
remove from random index,2,1,200,,
insert at random index,3,0,200,,
insert at start,4,0,200,,
remove from end,3,3,200,,
remove from end,2,2,300,,
remove from end,1,1,200,,
remove from start,0,0,200,,
add,1,0,100,,
remove from start,0,0,200,,
add,1,0,100,,
remove from start,0,0,200,,
add,1,0,100,,
add,2,1,0,,
remove from random index,1,1,300,,
insert at start,2,0,200,,
insert at start,3,0,100,,
insert at random index,4,0,200,,
insert at start,5,0,600,,
insert at random index,6,2,300,,
remove from end,5,5,200,,
add,6,5,0,,
insert at random index,7,3,200,,
add,8,7,0,,
insert at random index,9,6,1800,,
get Index of,9,-1,1100,,
add,10,9,0,,
remove from random index,9,1,200,,
insert at random index,10,6,200,,
add,11,10,0,,
get Index of,11,-1,1400,,
remove from start,10,0,200,,
insert at random index,11,9,200,,
remove from random index,10,0,200,,
remove from start,9,0,100,,
remove from end,8,8,200,,
remove from random index,7,0,100,,
insert at random index,8,6,200,,
remove from random index,7,3,200,,
insert at random index,8,0,200,,
remove from start,7,0,200,,
remove from random index,6,0,100,,
insert at start,7,0,200,,
add,8,7,0,,
get Index of,8,-1,1100,,
remove from start,7,0,200,,
remove from end,6,6,200,,
insert at start,7,0,200,,
insert at start,8,0,200,,
insert at start,9,0,100,,
remove from end,8,8,200,,
insert at start,9,0,200,,
access at random index,9,7,200,,
remove from end,8,8,400,,
remove from random index,7,4,300,,
remove from random index,6,2,200,,
remove from start,5,0,200,,
insert at random index,6,1,200,,
add,7,6,100,,
add,8,7,100,,
set value at random index,8,3,200,,
add,9,8,0,,
insert at random index,10,3,200,,
add,11,10,100,,
remove from random index,10,1,300,,
get Index of,10,-1,1200,,
get Index of,10,-1,1400,,
add,11,10,0,,
add,12,11,0,,
remove from random index,11,8,200,,
insert at start,12,0,200,,
get Index of,12,-1,1400,,
insert at random index,13,7,100,,
insert at random index,14,5,200,,
remove from end,13,13,200,,
insert at start,14,0,200,,
insert at random index,15,3,200,,
insert at random index,16,6,200,,
remove from random index,15,10,200,,
remove from start,14,0,300,,
add,15,14,100,,
remove from end,14,14,200,,
add,15,14,0,,
add,16,15,100,,
remove from random index,15,5,200,,
get Index of,15,-1,1800,,
add,16,15,0,,
remove from start,15,0,200,,
remove from random index,14,2,200,,
insert at random index,15,7,200,,
remove from random index,14,13,200,,
insert at random index,15,1,200,,
insert at start,16,0,200,,
remove from random index,15,1,200,,
remove from start,14,0,200,,
remove from random index,13,6,100,,
remove from end,12,12,100,,
remove from end,11,11,200,,
remove from end,10,10,200,,
remove from end,9,9,200,,
add,10,9,0,,
remove from random index,9,2,200,,
remove from start,8,0,200,,
insert at random index,9,7,200,,
insert at random index,10,2,200,,
remove from start,9,0,200,,
insert at start,10,0,200,,
remove from random index,9,6,200,,
remove from random index,8,5,200,,
remove from end,7,7,100,,
remove from end,6,6,200,,
insert at random index,7,5,300,,
insert at random index,8,6,200,,
insert at start,9,0,200,,
remove from end,8,8,200,,
remove from end,7,7,200,,
insert at start,8,0,200,,
remove from start,7,0,200,,
insert at start,8,0,200,,
insert at start,9,0,200,,
remove from start,8,0,300,,
insert at start,9,0,200,,
access at random index,9,4,200,,
insert at random index,10,0,200,,
insert at start,11,0,200,,
add,12,11,0,,
insert at start,13,0,200,,
insert at random index,14,6,200,,
insert at random index,15,9,200,,
insert at start,16,0,200,,
remove from random index,15,8,200,,
insert at random index,16,5,200,,
add,17,16,1300,,
insert at start,18,0,200,,
remove from start,17,0,200,,
remove from random index,16,3,300,,
insert at start,17,0,200,,
remove from start,16,0,100,,
remove from random index,15,2,200,,
insert at start,16,0,200,,
add,17,16,0,,
add,18,17,0,,
insert at random index,19,7,300,,
insert at start,20,0,300,,
remove from start,19,0,200,,
insert at random index,20,5,200,,
add,21,20,0,,
remove from start,20,0,200,,
remove from end,19,19,100,,
remove from end,18,18,200,,
remove from start,17,0,200,,
insert at random index,18,9,200,,
remove from random index,17,0,300,,
remove from end,16,16,300,,
remove from start,15,0,200,,
access at random index,15,5,100,,
remove from start,14,0,200,,
remove from random index,13,13,200,,
remove from random index,12,11,400,,
remove from random index,11,0,300,,
remove from random index,10,6,100,,
insert at random index,11,0,200,,
remove from random index,10,4,200,,
add,11,10,0,,
