add,1,0,200,,
get Index of,1,-1,200,add,118.2307148
access at random index,1,0,900,set,789.6120999
add,2,1,200,access,778.990274
set value at random index,2,1,300,remove end,1453.114899
remove from start,1,0,400,get index,337.8777703
get Index of,1,-1,0,remove start,248.2789719
insert at random index,2,0,300,insert random,983.4146341
access at random index,2,0,200,insert start,262.681883
access at random index,2,1,200,remove random,967.6431227
insert at start,3,0,400,,
insert at random index,4,0,200,,
remove from end,3,3,400,,
access at random index,3,2,200,,
insert at random index,4,2,300,,
set value at random index,4,1,200,,
access at random index,4,1,100,,
set value at random index,4,2,100,,
access at random index,4,3,200,,
access at random index,4,1,200,,
insert at random index,5,2,300,,
insert at start,6,0,200,,
remove from random index,5,0,200,,
set value at random index,5,4,200,,
set value at random index,5,2,100,,
remove from random index,4,4,300,,
remove from random index,3,1,400,,
set value at random index,3,0,100,,
access at random index,3,1,200,,
get Index of,3,-1,100,,
access at random index,3,0,100,,
insert at random index,4,1,400,,
access at random index,4,0,200,,
access at random index,4,1,100,,
remove from start,3,0,200,,
access at random index,3,0,200,,
set value at random index,3,1,100,,
add,4,3,200,,
remove from end,3,3,300,,
access at random index,3,2,200,,
insert at start,4,0,200,,
set value at random index,4,3,200,,
set value at random index,4,0,200,,
remove from random index,3,0,200,,
remove from end,2,2,400,,
set value at random index,2,0,200,,
access at random index,2,1,200,,
insert at random index,3,0,200,,
insert at start,4,0,300,,
set value at random index,4,3,200,,
set value at random index,4,1,200,,
insert at random index,5,1,300,,
remove from random index,4,3,300,,
get Index of,4,-1,100,,
remove from random index,3,0,200,,
set value at random index,3,1,100,,
set value at random index,3,2,200,,
access at random index,3,1,200,,
insert at random index,4,1,400,,
access at random index,4,3,200,,
access at random index,4,2,200,,
remove from start,3,0,300,,
access at random index,3,2,200,,
access at random index,3,2,100,,
remove from end,2,2,300,,
set value at random index,2,0,100,,
access at random index,2,1,400,,
set value at random index,2,1,200,,
remove from random index,1,1,400,,
remove from end,0,0,200,,
add,1,0,200,,
set value at random index,1,0,200,,
access at random index,1,0,200,,
access at random index,1,0,200,,
set value at random index,1,0,100,,
set value at random index,1,0,200,,
access at random index,1,0,200,,
access at random index,1,0,200,,
get Index of,1,-1,0,,
remove from end,0,0,200,,
add,1,0,100,,
add,2,1,100,,
get Index of,2,-1,100,,
add,3,2,100,,
add,4,3,100,,
add,5,4,100,,
get Index of,5,-1,0,,
access at random index,5,4,300,,
get Index of,5,-1,100,,
add,6,5,100,,
access at random index,6,5,200,,
access at random index,6,5,200,,
insert at start,7,0,200,,
remove from start,6,0,200,,
get Index of,6,-1,100,,
set value at random index,6,4,200,,
access at random index,6,2,200,,
set value at random index,6,4,200,,
access at random index,6,5,200,,
set value at random index,6,4,200,,
remove from end,5,5,400,,
set value at random index,5,2,200,,
set value at random index,5,0,200,,
remove from random index,4,4,300,,
get Index of,4,-1,100,,
set value at random index,4,2,200,,
access at random index,4,0,200,,
insert at random index,5,1,300,,
get Index of,5,-1,100,,
get Index of,5,-1,0,,
access at random index,5,2,200,,
