add,1,0,200,,
access at random index,1,0,900,add,102.5816693
set value at random index,1,0,300,set,494.0882764
remove from start,0,0,500,access,496.619662
add,1,0,200,remove end,917.5572519
insert at random index,2,0,300,get index,296.3117528
remove from end,1,1,400,remove start,231.128569
add,2,1,200,insert random,694.4425647
get Index of,2,-1,0,insert start,236.5632538
insert at random index,3,1,300,remove random,665.5792448
remove from random index,2,2,400,,
set value at random index,2,1,200,,
remove from end,1,1,300,,
insert at random index,2,0,200,,
remove from end,1,1,300,,
remove from random index,0,0,200,,
add,1,0,100,,
get Index of,1,-1,100,,
set value at random index,1,0,200,,
add,2,1,200,,
remove from random index,1,0,300,,
get Index of,1,-1,0,,
remove from start,0,0,200,,
add,1,0,100,,
remove from random index,0,0,200,,
add,1,0,200,,
add,2,1,100,,
set value at random index,2,1,500,,
insert at start,3,0,200,,
remove from random index,2,1,400,,
set value at random index,2,1,100,,
remove from random index,1,1,300,,
get Index of,1,-1,100,,
get Index of,1,-1,0,,
add,2,1,200,,
remove from end,1,1,300,,
get Index of,1,-1,100,,
add,2,1,100,,
add,3,2,100,,
add,4,3,100,,
get Index of,4,-1,100,,
remove from start,3,0,200,,
access at random index,3,0,100,,
insert at start,4,0,200,,
set value at random index,4,0,200,,
insert at start,5,0,200,,
add,6,5,100,,
set value at random index,6,2,200,,
remove from random index,5,0,200,,
remove from random index,4,3,300,,
remove from random index,3,0,200,,
set value at random index,3,1,200,,
insert at random index,4,0,200,,
insert at start,5,0,200,,
insert at start,6,0,200,,
remove from random index,5,2,300,,
remove from end,4,4,300,,
add,5,4,0,,
remove from start,4,0,200,,
remove from random index,3,0,200,,
insert at random index,4,1,300,,
insert at random index,5,1,300,,
access at random index,5,2,200,,
remove from end,4,4,400,,
get Index of,4,-1,100,,
remove from end,3,3,400,,
get Index of,3,-1,100,,
insert at random index,4,2,300,,
insert at random index,5,0,200,,
get Index of,5,-1,100,,
remove from random index,4,3,300,,
remove from random index,3,3,700,,
remove from end,2,2,300,,
access at random index,2,0,200,,
set value at random index,2,0,200,,
set value at random index,2,0,200,,
insert at start,3,0,200,,
set value at random index,3,0,200,,
insert at start,4,0,200,,
remove from random index,3,1,300,,
add,4,3,100,,
get Index of,4,-1,100,,
access at random index,4,3,200,,
remove from random index,3,1,300,,
remove from end,2,2,300,,
remove from random index,1,1,400,,
get Index of,1,-1,100,,
add,2,1,100,,
set value at random index,2,1,200,,
remove from end,1,1,300,,
access at random index,1,0,200,,
insert at start,2,0,200,,
remove from start,1,0,200,,
set value at random index,1,0,200,,
remove from end,0,0,200,,
add,1,0,100,,
get Index of,1,-1,0,,
add,2,1,100,,
insert at random index,3,1,400,,
remove from start,2,0,200,,
remove from random index,1,0,200,,
set value at random index,1,0,100,,
insert at random index,2,0,200,,
get Index of,2,-1,100,,
remove from start,1,0,200,,
insert at start,2,0,200,,
insert at random index,3,1,300,,
insert at start,4,0,200,,
insert at random index,5,1,400,,
insert at random index,6,2,300,,
remove from start,5,0,200,,
remove from random index,4,3,400,,
insert at random index,5,2,400,,
access at random index,5,0,200,,
access at random index,5,0,100,,
get Index of,5,2,100,,
remove from random index,4,1,300,,
set value at random index,4,3,200,,
add,5,4,100,,
remove from random index,4,3,300,,
insert at start,5,0,300,,
remove from random index,4,4,300,,
set value at random index,4,2,100,,
access at random index,4,1,200,,
set value at random index,4,3,200,,
insert at start,5,0,200,,
remove from end,4,4,300,,
insert at random index,5,1,400,,
add,6,5,100,,
get Index of,6,-1,100,,
remove from end,5,5,300,,
remove from random index,4,2,300,,
insert at start,5,0,200,,
access at random index,5,1,200,,
add,6,5,0,,
set value at random index,6,4,200,,
remove from start,5,0,300,,
access at random index,5,0,200,,
get Index of,5,-1,100,,
insert at start,6,0,200,,
remove from random index,5,0,200,,
get Index of,5,-1,100,,
insert at start,6,0,200,,
add,7,6,100,,
insert at start,8,0,200,,
access at random index,8,4,200,,
remove from start,7,0,200,,
insert at start,8,0,200,,
remove from end,7,7,400,,
access at random index,7,5,200,,
insert at random index,8,1,300,,
set value at random index,8,1,100,,
access at random index,8,6,500,,
remove from end,7,7,400,,
set value at random index,7,1,300,,
remove from random index,6,2,300,,
remove from random index,5,4,300,,
set value at random index,5,1,200,,
remove from end,4,4,300,,
set value at random index,4,1,200,,
access at random index,4,3,200,,
insert at start,5,0,200,,
access at random index,5,3,200,,
add,6,5,100,,
remove from start,5,0,300,,
insert at start,6,0,200,,
get Index of,6,-1,0,,
remove from start,5,0,300,,
remove from random index,4,1,300,,
add,5,4,100,,
set value at random index,5,0,100,,
remove from random index,4,4,300,,
remove from start,3,0,200,,
remove from start,2,0,200,,
remove from random index,1,1,500,,
add,2,1,100,,
insert at random index,3,1,300,,
remove from random index,2,2,300,,
set value at random index,2,0,200,,
remove from start,1,0,200,,
remove from start,0,0,200,,
add,1,0,100,,
insert at random index,2,0,300,,
add,3,2,100,,
remove from random index,2,1,300,,
get Index of,2,-1,0,,
remove from start,1,0,200,,
insert at start,2,0,200,,
