add,1,0,200,,
insert at start,2,0,3200,add,109.0427965
get Index of,2,-1,100,set,947.115002
insert at start,3,0,300,access,946.499393
remove from random index,2,1,500,remove end,1666.916297
remove from start,1,0,200,get index,359.7405837
remove from end,0,0,300,remove start,234.1017863
add,1,0,100,insert random,1101.18023
insert at start,2,0,200,insert start,248.2994957
insert at start,3,0,200,remove random,1109.468483
insert at random index,4,1,400,,
remove from start,3,0,200,,
set value at random index,3,2,300,,
remove from random index,2,0,200,,
get Index of,2,-1,100,,
add,3,2,100,,
insert at start,4,0,200,,
add,5,4,100,,
remove from random index,4,4,300,,
set value at random index,4,2,200,,
remove from random index,3,3,300,,
insert at start,4,0,200,,
remove from random index,3,2,300,,
add,4,3,100,,
add,5,4,200,,
remove from start,4,0,200,,
remove from end,3,3,300,,
insert at random index,4,0,200,,
remove from end,3,3,400,,
insert at random index,4,2,400,,
add,5,4,100,,
remove from end,4,4,300,,
insert at random index,5,0,200,,
insert at start,6,0,200,,
insert at random index,7,1,300,,
add,8,7,100,,
remove from start,7,0,200,,
remove from random index,6,3,300,,
get Index of,6,-1,100,,
insert at random index,7,2,300,,
insert at random index,8,5,400,,
remove from end,7,7,400,,
add,8,7,100,,
get Index of,8,-1,100,,
remove from random index,7,2,400,,
insert at start,8,0,200,,
access at random index,8,3,200,,
remove from end,7,7,300,,
remove from end,6,6,400,,
set value at random index,6,2,200,,
add,7,6,100,,
remove from end,6,6,400,,
insert at random index,7,5,300,,
insert at start,8,0,200,,
set value at random index,8,3,200,,
remove from start,7,0,200,,
remove from start,6,0,200,,
insert at random index,7,1,400,,
add,8,7,100,,
remove from start,7,0,500,,
remove from end,6,6,400,,
remove from random index,5,0,200,,
remove from random index,4,3,300,,
insert at random index,5,3,300,,
insert at start,6,0,200,,
remove from end,5,5,300,,
remove from end,4,4,300,,
insert at random index,5,3,300,,
add,6,5,100,,
insert at random index,7,4,400,,
add,8,7,100,,
insert at start,9,0,200,,
remove from end,8,8,300,,
remove from random index,7,0,200,,
add,8,7,100,,
access at random index,8,3,100,,
insert at start,9,0,200,,
insert at start,10,0,200,,
insert at random index,11,2,300,,
insert at random index,12,6,400,,
insert at random index,13,7,400,,
remove from start,12,0,200,,
remove from end,11,11,400,,
add,12,11,100,,
get Index of,12,-1,100,,
insert at random index,13,3,400,,
add,14,13,100,,
add,15,14,100,,
remove from end,14,14,400,,
remove from random index,13,13,300,,
insert at random index,14,12,400,,
get Index of,14,-1,100,,
remove from start,13,0,200,,
remove from start,12,0,400,,
get Index of,12,-1,100,,
remove from random index,11,2,400,,
insert at random index,12,7,300,,
remove from random index,11,6,300,,
add,12,11,100,,
set value at random index,12,1,200,,
remove from start,11,0,300,,
add,12,11,100,,
insert at start,13,0,200,,
remove from end,12,12,300,,
remove from start,11,0,200,,
insert at random index,12,6,300,,
add,13,12,100,,
insert at start,14,0,200,,
add,15,14,100,,
add,16,15,100,,
remove from random index,15,9,400,,
remove from end,14,14,400,,
remove from random index,13,1,400,,
remove from start,12,0,200,,
insert at random index,13,2,300,,
insert at random index,14,9,300,,
remove from start,13,0,200,,
insert at random index,14,0,200,,
insert at random index,15,11,300,,
insert at start,16,0,200,,
insert at start,17,0,200,,
remove from random index,16,3,400,,
insert at start,17,0,300,,
insert at random index,18,15,300,,
add,19,18,100,,
add,20,19,100,,
insert at start,21,0,200,,
remove from start,20,0,200,,
get Index of,20,-1,100,,
remove from random index,19,7,300,,
remove from random index,18,4,300,,
insert at random index,19,13,300,,
insert at random index,20,7,300,,
remove from start,19,0,200,,
remove from start,18,0,200,,
remove from start,17,0,200,,
add,18,17,0,,
remove from end,17,17,300,,
remove from random index,16,14,400,,
remove from random index,15,8,400,,
insert at start,16,0,200,,
get Index of,16,-1,100,,
remove from random index,15,10,300,,
insert at start,16,0,200,,
insert at random index,17,6,400,,
remove from start,16,0,300,,
access at random index,16,10,300,,
access at random index,16,5,200,,
insert at start,17,0,200,,
remove from start,16,0,200,,
remove from start,15,0,200,,
remove from start,14,0,200,,
insert at random index,15,3,300,,
insert at random index,16,7,500,,
add,17,16,100,,
remove from end,16,16,500,,
get Index of,16,-1,0,,
remove from random index,15,13,400,,
remove from end,14,14,400,,
insert at start,15,0,200,,
insert at random index,16,11,300,,
add,17,16,100,,
insert at random index,18,5,400,,
remove from random index,17,5,300,,
insert at random index,18,5,300,,
add,19,18,100,,
insert at random index,20,3,300,,
remove from end,19,19,400,,
add,20,19,100,,
add,21,20,100,,
remove from start,20,0,200,,
add,21,20,100,,
add,22,21,100,,
add,23,22,100,,
remove from random index,22,6,400,,
remove from random index,21,8,400,,
get Index of,21,-1,100,,
insert at random index,22,9,300,,
remove from start,21,0,200,,
remove from end,20,20,400,,
insert at start,21,0,200,,
add,22,21,100,,
insert at start,23,0,200,,
insert at start,24,0,300,,
remove from random index,23,7,400,,
remove from start,22,0,200,,
insert at start,23,0,300,,
access at random index,23,6,200,,
remove from random index,22,4,300,,
remove from end,21,21,400,,
remove from random index,20,3,300,,
remove from start,19,0,200,,
add,20,19,100,,
access at random index,20,6,200,,
remove from random index,19,0,200,,
remove from start,18,0,200,,
add,19,18,0,,
add,20,19,100,,
insert at random index,21,16,400,,
insert at start,22,0,300,,
remove from random index,21,10,300,,
remove from random index,20,8,300,,
add,21,20,100,,
insert at start,22,0,200,,
insert at start,23,0,200,,
add,24,23,100,,
insert at random index,25,6,400,,
remove from end,24,24,400,,
insert at random index,25,7,300,,
remove from start,24,0,200,,
remove from random index,23,17,400,,
insert at random index,24,16,400,,
add,25,24,100,,
insert at random index,26,4,300,,
insert at random index,27,2,400,,
insert at start,28,0,200,,
remove from end,27,27,400,,
remove from random index,26,14,300,,
add,27,26,100,,
remove from random index,26,1,400,,
access at random index,26,4,200,,
get Index of,26,-1,100,,
remove from end,25,25,400,,
insert at random index,26,6,400,,
remove from end,25,25,400,,
remove from random index,24,0,200,,
remove from start,23,0,200,,
remove from random index,22,11,400,,
remove from random index,21,18,400,,
add,22,21,100,,
remove from end,21,21,500,,
remove from end,20,20,400,,
remove from end,19,19,300,,
insert at start,20,0,400,,
remove from start,19,0,200,,
remove from end,18,18,400,,
add,19,18,100,,
remove from start,18,0,200,,
insert at start,19,0,300,,
insert at start,20,0,300,,
remove from random index,19,5,400,,
remove from start,18,0,200,,
insert at random index,19,4,300,,
insert at random index,20,7,300,,
remove from end,19,19,300,,
remove from end,18,18,300,,
remove from random index,17,3,400,,
access at random index,17,1,200,,
remove from end,16,16,400,,
insert at random index,17,4,500,,
insert at random index,18,6,400,,
insert at start,19,0,200,,
remove from start,18,0,200,,
insert at random index,19,15,400,,
add,20,19,100,,
insert at random index,21,10,400,,
insert at random index,22,0,200,,
add,23,22,100,,
remove from random index,22,22,400,,
insert at random index,23,7,400,,
add,24,23,100,,
add,25,24,100,,
remove from start,24,0,200,,
insert at random index,25,16,400,,
insert at start,26,0,300,,
remove from start,25,0,200,,
remove from end,24,24,400,,
insert at start,25,0,200,,
insert at start,26,0,200,,
get Index of,26,-1,0,,
insert at random index,27,21,300,,
add,28,27,100,,
add,29,28,100,,
remove from start,28,0,300,,
remove from end,27,27,400,,
remove from end,26,26,400,,
remove from random index,25,22,400,,
remove from start,24,0,200,,
remove from end,23,23,300,,
remove from end,22,22,400,,
set value at random index,22,17,300,,
remove from random index,21,11,300,,
add,22,21,100,,
remove from end,21,21,400,,
insert at random index,22,18,600,,
insert at start,23,0,400,,
access at random index,23,2,200,,
insert at random index,24,11,400,,
insert at start,25,0,300,,
remove from random index,24,0,200,,
remove from start,23,0,200,,
remove from random index,22,1,400,,
remove from start,21,0,200,,
remove from end,20,20,400,,
get Index of,20,-1,100,,
insert at random index,21,4,500,,
remove from start,20,0,200,,
add,21,20,200,,
add,22,21,100,,
insert at start,23,0,300,,
insert at random index,24,4,400,,
get Index of,24,-1,100,,
remove from random index,23,0,200,,
insert at start,24,0,200,,
insert at start,25,0,400,,
remove from start,24,0,200,,
remove from start,23,0,200,,
add,24,23,100,,
add,25,24,100,,
remove from start,24,0,200,,
insert at start,25,0,300,,
insert at start,26,0,200,,
remove from end,25,25,400,,
remove from random index,24,8,300,,
access at random index,24,12,300,,
remove from random index,23,3,300,,
access at random index,23,7,200,,
remove from start,22,0,400,,
insert at start,23,0,200,,
insert at random index,24,12,300,,
insert at start,25,0,300,,
remove from start,24,0,300,,
add,25,24,200,,
insert at start,26,0,200,,
remove from random index,25,12,400,,
remove from start,24,0,200,,
add,25,24,100,,
remove from end,24,24,500,,
insert at start,25,0,300,,
remove from start,24,0,200,,
add,25,24,100,,
insert at random index,26,9,300,,
remove from end,25,25,500,,
add,26,25,0,,
insert at start,27,0,200,,
get Index of,27,16,100,,
remove from random index,26,17,400,,
insert at start,27,0,200,,
remove from end,26,26,400,,
remove from random index,25,1,400,,
get Index of,25,-1,100,,
remove from start,24,0,200,,
insert at random index,25,8,400,,
insert at start,26,0,300,,
add,27,26,100,,
remove from end,26,26,400,,
add,27,26,100,,
insert at start,28,0,300,,
add,29,28,100,,
remove from random index,28,20,400,,
insert at random index,29,15,400,,
add,30,29,100,,
remove from end,29,29,400,,
remove from end,28,28,300,,
remove from random index,27,14,400,,
set value at random index,27,20,200,,
insert at start,28,0,400,,
add,29,28,200,,
insert at random index,30,5,400,,
remove from start,29,0,200,,
remove from random index,28,25,400,,
remove from random index,27,1,300,,
insert at random index,28,25,400,,
remove from start,27,0,200,,
insert at start,28,0,200,,
remove from end,27,27,400,,
remove from end,26,26,300,,
remove from end,25,25,300,,
remove from start,24,0,200,,
insert at random index,25,8,300,,
remove from start,24,0,200,,
add,25,24,100,,
remove from end,24,24,400,,
insert at start,25,0,300,,
insert at random index,26,9,400,,
remove from random index,25,8,400,,
remove from end,24,24,400,,
insert at start,25,0,200,,
insert at random index,26,6,300,,
add,27,26,200,,
remove from end,26,26,400,,
add,27,26,0,,
remove from start,26,0,200,,
remove from start,25,0,200,,
remove from start,24,0,200,,
remove from random index,23,5,300,,
remove from start,22,0,200,,
remove from random index,21,2,400,,
remove from end,20,20,400,,
remove from start,19,0,200,,
insert at random index,20,10,400,,
access at random index,20,13,300,,
remove from start,19,0,200,,
remove from start,18,0,200,,
insert at random index,19,17,300,,
insert at start,20,0,300,,
add,21,20,100,,
remove from random index,20,15,400,,
access at random index,20,8,200,,
remove from random index,19,18,400,,
remove from random index,18,8,300,,
remove from start,17,0,300,,
add,18,17,100,,
set value at random index,18,3,200,,
insert at start,19,0,300,,
remove from start,18,0,200,,
remove from random index,17,13,300,,
insert at random index,18,11,400,,
add,19,18,100,,
remove from random index,18,12,500,,
remove from start,17,0,200,,
remove from end,16,16,400,,
insert at random index,17,15,800,,
insert at random index,18,13,400,,
remove from start,17,0,200,,
insert at start,18,0,200,,
add,19,18,100,,
remove from random index,18,15,400,,
remove from start,17,0,300,,
remove from start,16,0,200,,
add,17,16,100,,
remove from start,16,0,300,,
remove from start,15,0,300,,
remove from end,14,14,400,,
remove from start,13,0,200,,
remove from end,12,12,500,,
remove from random index,11,8,300,,
insert at random index,12,6,400,,
insert at random index,13,11,300,,
remove from end,12,12,400,,
remove from start,11,0,200,,
insert at start,12,0,200,,
insert at start,13,0,300,,
insert at start,14,0,300,,
insert at start,15,0,200,,
remove from end,14,14,400,,
insert at random index,15,10,300,,
add,16,15,100,,
insert at random index,17,3,400,,
insert at random index,18,7,400,,
remove from start,17,0,200,,
add,18,17,100,,
add,19,18,100,,
remove from start,18,0,300,,
remove from start,17,0,200,,
insert at random index,18,7,400,,
insert at start,19,0,300,,
get Index of,19,-1,100,,
access at random index,19,16,200,,
remove from start,18,0,300,,
insert at random index,19,11,400,,
get Index of,19,2,100,,
add,20,19,300,,
remove from random index,19,16,600,,
remove from random index,18,15,400,,
remove from random index,17,17,500,,
insert at random index,18,1,400,,
insert at random index,19,12,300,,
remove from random index,18,7,400,,
insert at random index,19,16,600,,
remove from end,18,18,400,,
insert at random index,19,13,400,,
insert at random index,20,17,400,,
insert at start,21,0,200,,
remove from start,20,0,200,,
get Index of,20,-1,100,,
insert at start,21,0,300,,
insert at start,22,0,200,,
remove from random index,21,21,400,,
remove from end,20,20,400,,
remove from start,19,0,200,,
insert at random index,20,10,400,,
remove from random index,19,19,500,,
insert at start,20,0,200,,
remove from random index,19,11,300,,
access at random index,19,7,200,,
access at random index,19,8,200,,
remove from start,18,0,200,,
add,19,18,0,,
add,20,19,100,,
remove from end,19,19,400,,
remove from start,18,0,300,,
remove from random index,17,2,400,,
remove from start,16,0,200,,
set value at random index,16,3,200,,
insert at start,17,0,300,,
remove from start,16,0,200,,
get Index of,16,-1,100,,
insert at random index,17,14,400,,
remove from start,16,0,300,,
insert at start,17,0,300,,
remove from end,16,16,300,,
insert at random index,17,13,600,,
insert at random index,18,9,700,,
insert at start,19,0,300,,
insert at start,20,0,200,,
remove from random index,19,3,300,,
add,20,19,100,,
insert at start,21,0,200,,
insert at random index,22,19,400,,
remove from random index,21,1,400,,
insert at start,22,0,200,,
insert at random index,23,0,200,,
set value at random index,23,21,400,,
insert at start,24,0,300,,
remove from start,23,0,200,,
remove from end,22,22,400,,
insert at random index,23,7,400,,
insert at start,24,0,300,,
remove from start,23,0,200,,
insert at random index,24,22,500,,
remove from end,23,23,400,,
remove from start,22,0,200,,
remove from end,21,21,400,,
remove from start,20,0,200,,
access at random index,20,10,200,,
insert at random index,21,16,400,,
access at random index,21,14,100,,
remove from start,20,0,200,,
set value at random index,20,10,200,,
remove from random index,19,11,400,,
remove from random index,18,2,400,,
add,19,18,100,,
get Index of,19,-1,100,,
insert at start,20,0,200,,
insert at start,21,0,400,,
insert at random index,22,13,400,,
insert at random index,23,16,400,,
insert at start,24,0,200,,
remove from start,23,0,300,,
add,24,23,100,,
remove from random index,23,3,400,,
insert at random index,24,12,500,,
remove from random index,23,8,300,,
remove from end,22,22,400,,
insert at random index,23,2,300,,
remove from random index,22,4,500,,
insert at start,23,0,200,,
add,24,23,100,,
remove from start,23,0,1200,,
set value at random index,23,21,1600,,
access at random index,23,8,100,,
add,24,23,100,,
remove from start,23,0,200,,
insert at random index,24,12,400,,
remove from start,23,0,200,,
insert at random index,24,7,400,,
remove from random index,23,20,600,,
add,24,23,500,,
add,25,24,300,,
add,26,25,0,,
insert at start,27,0,300,,
remove from start,26,0,300,,
remove from random index,25,21,400,,
remove from start,24,0,200,,
remove from end,23,23,500,,
add,24,23,200,,
remove from end,23,23,400,,
insert at random index,24,8,500,,
insert at random index,25,1,400,,
add,26,25,200,,
insert at start,27,0,300,,
insert at random index,28,16,400,,
remove from start,27,0,300,,
insert at random index,28,13,400,,
insert at random index,29,4,300,,
remove from random index,28,27,400,,
add,29,28,100,,
remove from random index,28,13,300,,
insert at start,29,0,200,,
remove from end,28,28,400,,
insert at start,29,0,200,,
insert at start,30,0,200,,
insert at start,31,0,200,,
remove from start,30,0,200,,
remove from start,29,0,400,,
