push,1,4033,300,,
peek,1,55,300,push,2155.007068
peek,1,55,100,pop,5000.117634
push,2,1084,700,peek,142.839871
pop,1,1084,500,,
pop,0,4033,400,,
push,1,6687,100,,
pop,0,6687,400,,
push,1,8892,100,,
push,2,8863,500,,
push,3,9761,200,,
push,4,2847,800,,
push,5,5757,1300,,
pop,4,2847,1500,,
push,5,2064,800,,
pop,4,2064,1300,,
peek,4,57,100,,
pop,3,5757,1400,,
peek,3,48,100,,
peek,3,48,200,,
push,4,9246,200,,
push,5,2690,700,,
peek,5,35,100,,
push,6,1430,800,,
push,7,678,800,,
push,8,6789,900,,
push,9,5363,1500,,
peek,9,88,100,,
pop,8,678,1800,,
pop,7,1430,1800,,
push,8,5965,600,,
peek,8,35,100,,
push,9,9717,200,,
push,10,6243,500,,
peek,10,35,100,,
peek,10,35,200,,
peek,10,35,100,,
pop,9,2690,2400,,
peek,9,57,200,,
peek,9,57,200,,
push,10,3051,1300,,
push,11,4467,900,,
pop,10,3051,2000,,
pop,9,4467,1800,,
peek,9,57,100,,
pop,8,5363,1800,,
push,9,1445,1100,,
peek,9,31,100,,
pop,8,1445,1900,,
pop,7,5965,1700,,
peek,7,93,100,,
pop,6,6243,2100,,
push,7,2463,800,,
push,8,999,1200,,
pop,7,999,1700,,
pop,6,2463,1300,,
push,7,1625,800,,
push,8,7699,900,,
peek,8,25,100,,
push,9,1069,1100,,
push,10,767,1100,,
pop,9,767,1800,,
pop,8,1069,2000,,
push,9,2703,900,,
pop,8,1625,2100,,
pop,7,2703,1800,,
peek,7,69,200,,
push,8,413,1200,,
peek,8,3,200,,
peek,8,3,100,,
peek,8,3,100,,
push,9,3446,900,,
pop,8,413,1900,,
peek,8,66,100,,
pop,7,3446,1700,,
push,8,4439,1100,,
peek,8,33,200,,
pop,7,4439,1700,,
push,8,6768,1100,,
push,9,9822,200,,
push,10,9383,700,,
pop,9,6768,2400,,
peek,9,69,100,,
push,10,1632,1100,,
pop,9,1632,1700,,
push,10,1358,1200,,
push,11,9983,200,,
peek,11,79,100,,
push,12,1693,900,,
push,13,7958,500,,
pop,12,1358,2000,,
peek,12,31,100,,
pop,11,1693,2400,,
pop,10,6789,2600,,
pop,9,7699,1700,,
pop,8,7958,1700,,
pop,7,8863,1800,,
peek,7,12,200,,
pop,6,8892,1500,,
pop,5,9246,1700,,
pop,4,9383,1500,,
push,5,4363,700,,
push,6,9305,600,,
pop,5,4363,1300,,
pop,4,9305,1300,,
pop,3,9717,1100,,
pop,2,9761,800,,
peek,2,9,100,,
push,3,2117,500,,
peek,3,89,100,,
pop,2,2117,700,,
push,3,8790,500,,
peek,3,12,200,,
pop,2,8790,600,,
pop,1,9822,400,,
pop,0,9983,400,,
push,1,9592,0,,
pop,0,9592,400,,
push,1,2189,100,,
push,2,3742,300,,
peek,2,21,100,,
pop,1,2189,500,,
push,2,2337,400,,
pop,1,2337,400,,
pop,0,3742,400,,
push,1,5523,0,,
pop,0,5523,400,,
push,1,5029,100,,
peek,1,79,200,,
push,2,2818,400,,
push,3,4974,300,,
push,4,3020,600,,
push,5,989,800,,
pop,4,989,1300,,
pop,3,2818,1300,,
push,4,2645,800,,
push,5,9353,200,,
pop,4,2645,1600,,
push,5,9141,200,,
pop,4,3020,1100,,
peek,4,89,100,,
push,5,448,700,,
pop,4,448,1300,,
pop,3,4974,1100,,
peek,3,79,200,,
push,4,983,800,,
peek,4,89,100,,
push,5,9200,200,,
peek,5,89,100,,
pop,4,983,1300,,
peek,4,79,100,,
peek,4,79,100,,
peek,4,79,200,,
push,5,7630,600,,
peek,5,79,100,,
peek,5,79,100,,
pop,4,5029,1300,,
push,5,2475,1100,,
peek,5,93,100,,
peek,5,93,100,,
pop,4,2475,1300,,
pop,3,7630,1100,,
peek,3,11,200,,
push,4,172,900,,
push,5,1024,500,,
peek,5,37,100,,
pop,4,172,1300,,
push,5,591,700,,
peek,5,63,100,,
peek,5,63,100,,
peek,5,63,200,,
push,6,3133,600,,
peek,6,63,100,,
peek,6,63,100,,
pop,5,591,1700,,
push,6,163,800,,
peek,6,12,200,,
pop,5,163,1100,,
peek,5,59,100,,
pop,4,1024,1100,,
push,5,1835,800,,
push,6,2743,800,,
pop,5,1835,1000,,
pop,4,2743,1300,,
push,5,467,900,,
pop,4,467,1300,,
push,5,7116,600,,
pop,4,3133,1300,,
pop,3,7116,1200,,
pop,2,9141,900,,
peek,2,97,100,,
push,3,3836,400,,
push,4,9771,200,,
push,5,379,800,,
peek,5,19,100,,
peek,5,19,100,,
push,6,6769,600,,
pop,5,379,1500,,
push,6,1755,800,,
push,7,446,1000,,
peek,7,77,100,,
pop,6,446,1300,,
push,7,9962,200,,
pop,6,1755,1500,,
pop,5,3836,1000,,
peek,5,90,200,,
peek,5,90,200,,
pop,4,6769,1300,,
pop,3,9200,1100,,
pop,2,9353,900,,
push,3,4385,500,,
push,4,3053,700,,
push,5,4833,200,,
push,6,5642,600,,
push,7,6094,500,,
peek,7,71,100,,
pop,6,3053,1800,,
pop,5,4385,1700,,
peek,5,79,100,,
peek,5,79,100,,
pop,4,4833,1000,,
push,5,4917,800,,
peek,5,11,100,,
peek,5,11,200,,
pop,4,4917,1500,,
pop,3,5642,1100,,
push,4,1542,800,,
pop,3,1542,1100,,
pop,2,6094,600,,
push,3,1112,400,,
push,4,2860,500,,
peek,4,66,100,,
pop,3,1112,1000,,
push,4,9806,500,,
pop,3,2860,1100,,
peek,3,75,100,,
