push,1,4240,400,,
pop,0,4240,300,push,2444.859981
push,1,9366,100,pop,196.4069452
peek,1,12,200,peek,151.8675299
peek,1,12,100,,
push,2,4978,300,,
push,3,9988,600,,
push,4,8701,500,,
peek,4,19,100,,
peek,4,19,100,,
push,5,4399,900,,
pop,4,4399,200,,
pop,3,4978,200,,
push,4,3162,400,,
push,5,6018,500,,
pop,4,3162,200,,
peek,4,64,100,,
push,5,2236,400,,
pop,4,2236,200,,
pop,3,6018,200,,
pop,2,8701,100,,
pop,1,9366,200,,
push,2,6959,300,,
push,3,4202,200,,
push,4,3127,400,,
pop,3,3127,200,,
peek,3,99,200,,
pop,2,4202,200,,
push,3,2963,300,,
pop,2,2963,200,,
pop,1,6959,100,,
push,2,97,200,,
push,3,7860,500,,
peek,3,47,100,,
push,4,9322,500,,
pop,3,97,200,,
peek,3,23,200,,
push,4,1606,400,,
pop,3,1606,200,,
push,4,381,300,,
push,5,1433,500,,
push,6,4712,600,,
peek,6,8,200,,
push,7,851,600,,
push,8,9004,600,,
pop,7,381,200,,
peek,7,97,200,,
push,8,9103,600,,
pop,7,851,200,,
push,8,9151,600,,
push,9,7404,1200,,
pop,8,1433,200,,
peek,8,12,100,,
pop,7,4712,200,,
push,8,3195,500,,
push,9,6778,600,,
peek,9,28,200,,
pop,8,3195,200,,
peek,8,78,200,,
push,9,1021,500,,
push,10,2626,600,,
peek,10,74,200,,
push,11,4546,600,,
pop,10,1021,100,,
push,11,8709,600,,
peek,11,44,100,,
push,12,4781,700,,
peek,12,44,100,,
pop,11,2626,200,,
pop,10,4546,100,,
pop,9,4781,200,,
peek,9,78,200,,
pop,8,6778,200,,
push,9,8165,600,,
peek,9,37,100,,
push,10,4241,400,,
push,11,6979,600,,
pop,10,4241,200,,
peek,10,59,100,,
push,11,9676,1000,,
push,12,5472,400,,
peek,12,87,100,,
pop,11,5472,200,,
peek,11,59,100,,
push,12,6784,500,,
push,13,1204,400,,
peek,13,77,200,,
push,14,8313,700,,
push,15,4379,700,,
peek,15,77,100,,
pop,14,1204,200,,
peek,14,9,200,,
pop,13,4379,200,,
peek,13,55,100,,
peek,13,55,100,,
push,14,8034,700,,
push,15,7068,700,,
pop,14,6784,200,,
push,15,1399,500,,
push,16,5979,600,,
peek,16,30,200,,
push,17,3094,1200,,
push,18,2217,700,,
push,19,7187,700,,
pop,18,1399,200,,
pop,17,2217,100,,
peek,17,33,200,,
push,18,2152,600,,
pop,17,2152,100,,
pop,16,3094,200,,
push,17,6872,700,,
push,18,8940,800,,
peek,18,81,200,,
peek,18,81,100,,
push,19,2974,500,,
push,20,8100,1000,,
peek,20,22,200,,
peek,20,22,200,,
push,21,760,600,,
peek,21,86,200,,
pop,20,760,200,,
push,21,1412,600,,
pop,20,1412,200,,
pop,19,2974,200,,
push,20,1795,600,,
push,21,1907,700,,
push,22,156,600,,
pop,21,156,200,,
push,22,5200,700,,
push,23,7957,900,,
peek,23,79,200,,
push,24,2523,800,,
pop,23,1795,200,,
peek,23,25,100,,
peek,23,25,100,,
push,24,264,600,,
pop,23,264,200,,
push,24,7255,900,,
push,25,8534,900,,
push,26,8685,800,,
pop,25,1907,100,,
pop,24,2523,200,,
pop,23,5200,200,,
push,24,134,500,,
push,25,2502,800,,
pop,24,134,100,,
pop,23,2502,200,,
pop,22,5979,100,,
pop,21,6872,200,,
pop,20,6979,100,,
push,21,1738,500,,
push,22,3978,700,,
push,23,2686,800,,
pop,22,1738,200,,
pop,21,2686,100,,
push,22,3461,600,,
pop,21,3461,200,,
pop,20,3978,100,,
push,21,4448,600,,
push,22,7117,700,,
pop,21,4448,200,,
pop,20,7068,200,,
peek,20,79,100,,
pop,19,7117,200,,
push,20,1612,600,,
pop,19,1612,200,,
push,20,6778,600,,
pop,19,6778,100,,
push,20,8475,900,,
push,21,4827,600,,
push,22,7321,800,,
peek,22,35,100,,
pop,21,4827,200,,
peek,21,89,200,,
peek,21,89,200,,
pop,20,7187,200,,
push,21,6488,700,,
pop,20,6488,200,,
push,21,1980,600,,
pop,20,1980,200,,
push,21,1743,500,,
push,22,5351,600,,
peek,22,57,200,,
push,23,9499,700,,
push,24,3658,800,,
peek,24,57,200,,
pop,23,1743,200,,
push,24,9311,800,,
push,25,6766,1000,,
peek,25,53,100,,
push,26,6086,800,,
push,27,27,600,,
push,28,6545,800,,
pop,27,27,200,,
peek,27,53,100,,
push,28,517,600,,
push,29,246,700,,
pop,28,246,100,,
push,29,972,800,,
push,30,1168,800,,
push,31,588,800,,
push,32,872,800,,
push,33,4296,1500,,
push,34,9638,900,,
pop,33,517,200,,
push,34,3525,900,,
push,35,4826,900,,
peek,35,34,100,,
push,36,2019,800,,
push,37,9021,800,,
push,38,1551,800,,
push,39,6379,1000,,
peek,39,34,100,,
peek,39,34,100,,
pop,38,588,200,,
push,39,7836,1100,,
push,40,6175,900,,
peek,40,22,100,,
push,41,9634,1000,,
push,42,483,700,,
pop,41,483,200,,
push,42,1520,1000,,
push,43,8243,1100,,
pop,42,872,200,,
pop,41,972,200,,
push,42,1384,800,,
pop,41,1168,200,,
peek,41,45,100,,
push,42,4348,900,,
pop,41,1384,100,,
push,42,4292,900,,
pop,41,1520,100,,
pop,40,1551,200,,
pop,39,2019,200,,
push,40,5373,900,,
push,41,9562,1000,,
peek,41,22,100,,
push,42,8895,800,,
pop,41,3525,200,,
push,42,258,700,,
peek,42,19,200,,
peek,42,19,200,,
peek,42,19,200,,
peek,42,19,100,,
push,43,8921,1100,,
push,44,2591,1000,,
push,45,2443,800,,
peek,45,19,200,,
peek,45,19,200,,
pop,44,258,300,,
pop,43,2443,200,,
push,44,9851,1400,,
push,45,4884,1000,,
pop,44,2591,100,,
pop,43,3658,100,,
pop,42,4292,200,,
pop,41,4296,100,,
peek,41,97,100,,
pop,40,4348,100,,
push,41,4549,800,,
push,42,4390,700,,
push,43,7308,3300,,
peek,43,26,600,,
pop,42,4390,500,,
push,43,6290,2400,,
push,44,2072,2200,,
peek,44,18,400,,
push,45,7420,2500,,
peek,45,18,200,,
peek,45,18,300,,
pop,44,2072,600,,
pop,43,4549,400,,
pop,42,4826,400,,
push,43,4950,2300,,
pop,42,4884,400,,
pop,41,4950,300,,
pop,40,5351,500,,
pop,39,5373,500,,
pop,38,6086,600,,
